0xxx0xxxxxxxxxxxxxxxx 00000001 # IE=0 (during fetch)
0xxx10000100001101001 00000001 # mov sp, [memaddr+opd]
0xxx10000100010111001 00000001 # mov memval, [memaddr+opd]
0xxx10000100010100000 00000001 # mov memaddr,a
0xxx10000100010100001 00000001 # mov memaddr,b
0xxx10000100010100010 00000001 # mov memaddr,c
0xxx10000100010100011 00000001 # mov memaddr,d
0xxx10000100010100100 00000001 # mov memaddr,e
0xxx10000100010100101 00000001 # mov memaddr,bp
0xxx10000100010100110 00000001 # mov memaddr,sp
0xxx10000100010110000 00000001 # mov memval,a
0xxx10000100010110001 00000001 # mov memval,b
0xxx10000100010110010 00000001 # mov memval,c
0xxx10000100010110011 00000001 # mov memval,d
0xxx10000100010110100 00000001 # mov memval,e
0xxx10000100010110101 00000001 # mov memval,bp
0xxx10000100010110110 00000001 # mov memval,sp
0xxx10000100010101010 00000001 # mov [memaddr+opd],memval
0xxx10000100010101111 00000001 # mov memaddr, opd
0xxx10000100010111111 00000001 # mov memval, opd
0xxx10000100000001111 00000001 # mov a, opd
0xxx10000100000011111 00000001 # mov b, opd
0xxx10000100000101111 00000001 # mov c, opd
0xxx10000100000111111 00000001 # mov d, opd
0xxx10000100001001111 00000001 # mov e, opd
0xxx10000100001011111 00000001 # mov bp, opd
0xxx10000100001101111 00000001 # mov sp, opd
0xxx10000100100001111 00000001 # in a
0xxx10000100100011111 00000001 # in b
0xxx10000100100101111 00000001 # in c
0xxx10000100100111111 00000001 # in d
0xxx10000100101001111 00000001 # in e
0xxx10000100101011111 00000001 # in bp
0xxx10000100101101111 00000001 # in sp
0xxx10000101000001111 00000001 # out a
0xxx10000101000011111 00000001 # out b
0xxx10000101000101111 00000001 # out c
0xxx10000101000111111 00000001 # out d
0xxx10000101001001111 00000001 # out e
0xxx10000101001011111 00000001 # out bp
0xxx10000101001101111 00000001 # out sp
0xxx10000101011111111 00000001 # out opd
0xxx10001001000000000 00000001 # cmp a, a
0xxx10001001000000001 00000001 # cmp a, b
0xxx10001001000000010 00000001 # cmp a, c
0xxx10001001000000011 00000001 # cmp a, d
0xxx10001001000000100 00000001 # cmp a, e
0xxx10001001000000101 00000001 # cmp a, bp
0xxx10001001000000110 00000001 # cmp a, sp
0xxx10001001000010000 00000001 # cmp b, a
0xxx10001001000010001 00000001 # cmp b, b
0xxx10001001000010010 00000001 # cmp b, c
0xxx10001001000010011 00000001 # cmp b, d
0xxx10001001000010100 00000001 # cmp b, e
0xxx10001001000010101 00000001 # cmp b, bp
0xxx10001001000010110 00000001 # cmp b, sp
0xxx10001001000100000 00000001 # cmp c, a
0xxx10001001000100001 00000001 # cmp c, b
0xxx10001001000100010 00000001 # cmp c, c
0xxx10001001000100011 00000001 # cmp c, d
0xxx10001001000100100 00000001 # cmp c, e
0xxx10001001000100101 00000001 # cmp c, bp
